"1","B00013","LOVE CORP CAR INC",,"1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"2","B00014","NY ONE CORP CAR INC",,"1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"3","B00035","LOTUS RIDE INC",,"38-60 13 STREET","LIC","11101","718-707-9100","TLC-licensed base (FHV, Commuter Van, or Para)"
"4","B00053","CHARGE AND RIDE INC",,"47-01 VERNON BOULEVARD","LIC","11101","718-392-5200","TLC-licensed base (FHV, Commuter Van, or Para)"
"5","B00083","PAGE-A-RIDE INC",,"27-02 43 AVENUE","QUEENS","11101","718-786-2655","TLC-licensed base (FHV, Commuter Van, or Para)"
"6","B00111","SKYLINE CREDIT RIDE INC",,"52-29 35 STREET","LIC","11101","718-482-8585","TLC-licensed base (FHV, Commuter Van, or Para)"
"7","B00202","EXCELSIOR CAR & LIMO, INC.",,"335 BOND STREET","BROOKLYN","11231","718-522-7232","TLC-licensed base (FHV, Commuter Van, or Para)"
"8","B00235","ARISTACAR & LIMOUSINE, LTD.",,"335 BOND STREET","BROOKLYN","11231","718-643-6900","TLC-licensed base (FHV, Commuter Van, or Para)"
"9","B00236","LAST RADIO GROUP CORP.",,"43-22 VAN DAM STREET","LIC","11101","718-937-6677","TLC-licensed base (FHV, Commuter Van, or Para)"
"10","B00254","XYZ TWO WAY RADIO",,"275 20 STREET","BROOKLYN","11215","718-499-3505","TLC-licensed base (FHV, Commuter Van, or Para)"
"11","B00271","UTOG 2-WAY RADIO INC",,"25-20 39 AVENUE","LONGISLANDCITY","11101","718-361-7290","TLC-licensed base (FHV, Commuter Van, or Para)"
"12","B00272","BIG APPLE CAR INC",,"169 BAY   17 STREET","BROOKLYN","11214","718-236-8765","TLC-licensed base (FHV, Commuter Van, or Para)"
"13","B00277","ALL CITY CORP TRANS INC",,"349 GRAND CONCOURSE","BRONX","10451","718-402-0195","TLC-licensed base (FHV, Commuter Van, or Para)"
"14","B00280","FLEET RADIO DISPATCH CORP.","MINUTEMEN","59-01 37 AVENUE","WOODSIDE","11377","718-651-7300","TLC-licensed base (FHV, Commuter Van, or Para)"
"15","B00296","PRIME TIME TRANS. INC",,"23-20 JACKSON AVENUE","LIC","11101","718-482-7900","TLC-licensed base (FHV, Commuter Van, or Para)"
"16","B00306","LOVE LIMOUSINE NYC LTD",,"1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"17","B00329","CITICAR TRANSPORTATION CORP.",,"38-60 13 STREET","LIC","11101","718-707-9000","TLC-licensed base (FHV, Commuter Van, or Para)"
"18","B00381","BELL RADIO INC",,"1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"19","B00411","FONE-A-CAR INC",,"1440 39 STREET","BROOKLYN","11218","718-832-4600","TLC-licensed base (FHV, Commuter Van, or Para)"
"20","B00412","NYC 2 WAY INTERNATIONAL LTD","NYC TWO WAY INC.","335 BOND STREET","BROOKLYN","11231","718-643-6053","TLC-licensed base (FHV, Commuter Van, or Para)"
"21","B00446","COMMUNICAR INCORPORATED",,"73-10 88 STREET","GLENDALE","11385","718-418-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"22","B00447","CORPORATE CAR LTD.",,"73-10 88 STREET","GLENDALE","11385","718-418-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"23","B00448","DIAL CAR INC.",,"2104 AVENUE X","BROOKLYN","11235","718-743-8383","TLC-licensed base (FHV, Commuter Van, or Para)"
"24","B00477","INTA-BORO ACRES INC",,"88-19 101 AVENUE","OZONE PARK","11416","718-845-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"25","B00608","SUMMIT CORP CAR INC",,"1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"26","B00628","CONCORD LIMOUSINE INC",,"712 3 AVENUE","BROOKLYN","11232","718-965-6150","TLC-licensed base (FHV, Commuter Van, or Para)"
"27","B00789","VITAL TRANSP INC",,"41-24 38 STREET","LIC.","11101","718-472-2500","TLC-licensed base (FHV, Commuter Van, or Para)"
"28","B00888","ACE C/L SVCE INC",,"1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"29","B00946","EAGLE AMERICAN LIMO SVCE INC",,"60 EAST   42 STREET","NEW YORK","10017","212-986-5461","TLC-licensed base (FHV, Commuter Van, or Para)"
"30","B01026","GRAND TRANSPORTATION INC.",,"621 WEST   55 STREET","NEW YORK","10019","212-956-6600","TLC-licensed base (FHV, Commuter Van, or Para)"
"31","B01087","ELITE LIMO PLUS INC",,"32-72 GALE AVENUE","LIC","11101","718-472-2300","TLC-licensed base (FHV, Commuter Van, or Para)"
"32","B01154","CROSSTOWN LIMOUSINE SVC. INC.","CITY RIDE C/L SVCE","44-61 11 STREET","LIC","11101","718-706-6666","TLC-licensed base (FHV, Commuter Van, or Para)"
"33","B01183","ODYSSEY TRANSPORTATION, LLC",,"37-24 24 STREET","LIC","11101","718-392-1700","TLC-licensed base (FHV, Commuter Van, or Para)"
"34","B01197","TEL-A-CAR OF NEW YORK, LLC",,"30-55 VERNON BOULEVARD","LIC","11102","718-956-9111","TLC-licensed base (FHV, Commuter Van, or Para)"
"35","B01309","CHO ASSOCIATES, LTD.","ARROW TRANSPORTATION","11-17 43 AVENUE","LIC","11101","718-392-4060","TLC-licensed base (FHV, Commuter Van, or Para)"
"36","B01367","ROYAL DISPATCH SERVICES, INC.","EXECUTIVE CARS","43-22 VAN DAM STREET","LIC","11101","718-937-6677","TLC-licensed base (FHV, Commuter Van, or Para)"
"37","B01779","APEX CAR & LIMO SVCE INC",,"579 SMITH STREET","BROOKLYN","11231","718-522-1313","TLC-licensed base (FHV, Commuter Van, or Para)"
"38","B01803","V.I.P. CONNECTION, INC.","CARLINK","53-38 35 STREET","LIC","11101","718-392-6100","TLC-licensed base (FHV, Commuter Van, or Para)"
"39","B01875","ON LINE LIMOUSINE LLC",,"1642 ST NICHOLAS AVENUE","NEW YORK","10040","212-923-2281","TLC-licensed base (FHV, Commuter Van, or Para)"
"40","B01894","BATTERY HOLDING OF NY INC","BATTERY CITY CAR AND LIMOUSINE","1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"41","B01899","ALLSTATE PRIVATE CAR & LIMO,INC",,"335 BOND STREET","BROOKLYN","11231","212-741-7440","TLC-licensed base (FHV, Commuter Van, or Para)"
"42","B01949","FIRST CLASS OF NEW YORK INC.","NEW YORK FIRST CLASS","335 BOND STREET","BROOKLYN","11231","718-643-6053","TLC-licensed base (FHV, Commuter Van, or Para)"
"43","B01985","LUXURY WORLDWIDE TRANSPORTATION, LLC","LUXURY LIMOUSINE TRANSPORTATION","329 38 STREET","BROOKLYN","11232","718-832-2600","TLC-licensed base (FHV, Commuter Van, or Para)"
"44","B01990","SUK INCORPORATED","RAINBOW LIMO","8 WEST   38 STREET SUITE #1206","NEW YORK","10018","212-769-2929","TLC-licensed base (FHV, Commuter Van, or Para)"
"45","B01998","FIRST CORPORATE SEDANS INC.",,"250 WEST   57 STREET STE. 1025","NEW YORK","10019","212-265-8100","TLC-licensed base (FHV, Commuter Van, or Para)"
"46","B02003","AVALON CORPORATE CAR,INC.",,"1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"47","B02005","CAR LINE TRANSPORTATION CORP.","CAR LINE TRANSPORTATION CORP.","43-39 21 STREET 2 FLOOR","LIC","11101","718-729-2222","TLC-licensed base (FHV, Commuter Van, or Para)"
"48","B02022","GOLD SEAL CAR & LIMO INC.",,"47-46 11 STREET","LIC","11101","718-706-6000","TLC-licensed base (FHV, Commuter Van, or Para)"
"49","B02051","ALLEN MANAGEMENT COMPANY, LLC",,"1440 39 STREET","BROOKLYN","11218","718-438-1100","TLC-licensed base (FHV, Commuter Van, or Para)"
"50","B02063","CLASSIC EXECUTIVE LIMOUSINE SVC., INC.",,"38-30 31 STREET","LIC","11101","718-482-7667","TLC-licensed base (FHV, Commuter Van, or Para)"
"51","B02064","AMERICAN LIMOUSINE, INC.","FLYTE LINE TRANSPORTATION","1700 JEROME AVENUE 1ST FLOOR","BRONX","10453","212-281-4500","TLC-licensed base (FHV, Commuter Van, or Para)"
"52","B02067","GROUP AMERICAR TRANSP. LLC",,"522 WEST   37 STREET","NEW YORK","10018","212-629-8833","TLC-licensed base (FHV, Commuter Van, or Para)"
"53","B02072","MARK LIMOUSINE INTERNATIONAL INC",,"60-27 56 ROAD","MASPETH","11378","718-326-0505","TLC-licensed base (FHV, Commuter Van, or Para)"
"54","B02085","TOKYO ENTERPRISE INC.","TOKYO LIMO","142 WEST 36TH STREET RM #402","NEW YORK","10018","718-661-4915","TLC-licensed base (FHV, Commuter Van, or Para)"
"55","B02096","CET GROUP, INC",,"47 LUDLOW STREET","NEW YORK","10002","212-965-0889","TLC-licensed base (FHV, Commuter Van, or Para)"
"56","B02101","EXECTRANSPORT, INC.","EAST COAST WORLDWIDE LIMOUSINE","38-17 CRESCENT STREET","LIC","11101","917-606-1735","TLC-licensed base (FHV, Commuter Van, or Para)"
"57","B02110","OPTIMUM CAR & LIMO, INC.",,"335 BOND STREET","BROOKLYN","11231","917-992-3349","TLC-licensed base (FHV, Commuter Van, or Para)"
"58","B02133","TWR CAR & LIMO, INC.",,"335 BOND STREET","BROOKLYN","11231","718-643-2200","TLC-licensed base (FHV, Commuter Van, or Para)"
"59","B02136","CROSSLANDS CORPORATE TRANSP. INC.",,"35-44 11 STREET","LIC","11106","718-545-0100","TLC-licensed base (FHV, Commuter Van, or Para)"
"60","B02159","DELUXE TRANSPORTATION, INC.",,"41-24 38 STREET","LIC","11101","718-507-8700","TLC-licensed base (FHV, Commuter Van, or Para)"
"61","B02161","CMC MANAGEMENT GROUP, LLC","CITYWIDE","1440 39 STREET","BROOKLYN","11218","718-405-2400","TLC-licensed base (FHV, Commuter Van, or Para)"
"62","B02169","DIAMOND LIMOUSINE INC.",,"12-04 44 AVENUE","LIC","11101","212-777-6699","TLC-licensed base (FHV, Commuter Van, or Para)"
"63","B02207","EASTERN LUXURY, INC.",,"222 15 STREET","BROOKLYN","11215","718-499-3355","TLC-licensed base (FHV, Commuter Van, or Para)"
"64","B02209","SIX STARS OF NEW YORK, INC.","LIMO LAND","37-22 23 STREET","LIC","11101","212-501-7400","TLC-licensed base (FHV, Commuter Van, or Para)"
"65","B02216","FEDERAL TRANSIT, INC",,"40-46 MAIN STREET SUITE #201","FLUSHING","11354","718-775-6566","TLC-licensed base (FHV, Commuter Van, or Para)"
"66","B02225","NM TRANSPORTATION INC.",,"44-02 23 STREET STE #418","LONG ISLAND CIT","11101","718-274-9501","TLC-licensed base (FHV, Commuter Van, or Para)"
