"1","B00001","LONDON TOWNCARS INC",,"40-14 23 STREET","LIC","11101","718-786-9700","TLC-licensed base (FHV, Commuter Van, or Para)"
"2","B00039","BERMUDA LIMOUSINE SERVICE INC.",,"537 WEST   20 STREET","NEW YORK","10011","212-249-8400","TLC-licensed base (FHV, Commuter Van, or Para)"
"3","B00078","R & R ROAD LIMO SVCE INC",,"865 EAST  138 STREET","BRONX","10454","718-585-8500","TLC-licensed base (FHV, Commuter Van, or Para)"
"4","B00084","AUTOMOTIVE SVC SYSTEM INC",,"447 WEST   36 STREET","NEW YORK","10018","212-966-6400","TLC-licensed base (FHV, Commuter Van, or Para)"
"5","B00207","E.R.A. LIMO SVC LTD.",,"23-50 WATERS EDGE DRIVE","BAYSIDE","11360","718-279-3723","TLC-licensed base (FHV, Commuter Van, or Para)"
"6","B00208","ERNEST SCHWARZ INC",,"15 CHAIN LANE","HICKSVILLE","11801","516-287-5550","TLC-licensed base (FHV, Commuter Van, or Para)"
"7","B00227","PARK WEST EXEC. SERVICES, INC.","TOWN CARS","36-36 33 STREET 3RD FL","LONG ISL. CITY","11106","212-727-7800","TLC-licensed base (FHV, Commuter Van, or Para)"
"8","B00370","DAV-EL SERVICES INC",,"42-32 21 STREET","LIC","11101","718-729-2400","TLC-licensed base (FHV, Commuter Van, or Para)"
"9","B00387","FORTUNE LIMOUSINES INC",,"25-15 23 STREET","LIC","11102","718-729-6800","TLC-licensed base (FHV, Commuter Van, or Para)"
"10","B00472","FARRELL'S LEASING CO.",,"430 EAST   92 STREET","NEW YORK","10128","212-861-6300","TLC-licensed base (FHV, Commuter Van, or Para)"
"11","B00552","HINO-MARU ENTERPRISES INC.",,"8 WEST   38 STREET STE. 1206","NEW YORK","10018","212-752-0133","TLC-licensed base (FHV, Commuter Van, or Para)"
"12","B00556","SURREY CADILLAC LIMO SVC INC",,"234 EAST 54TH STREET","NEW YORK","10022","718-937-5700","TLC-licensed base (FHV, Commuter Van, or Para)"
"13","B00623","MANHATTAN INT'L LIMO NETWORK LLC",,"49-01 27 STREET","LIC","11101","718-786-0800","TLC-licensed base (FHV, Commuter Van, or Para)"
"14","B00711","ALEGACY COACHES LTD",,"630 ST NICHOLAS AVENUE","NEW YORK","10030","212-281-4000","TLC-licensed base (FHV, Commuter Van, or Para)"
"15","B00837","CAREY LIMO N Y INC",,"27-10 49 AVENUE","LIC","11101","718-898-1000","TLC-licensed base (FHV, Commuter Van, or Para)"
