"1","B90010","COLING AMBULETTE SVC INC",,"837 ROGERS AVENUE","BROOKLYN","11226","718-469-6200","TLC-licensed base (FHV, Commuter Van, or Para)"
"2","B90018","LEON'S AMBULETTE INC",,"114-22 170 STREET","JAMAICA","11434","718-291-0765","TLC-licensed base (FHV, Commuter Van, or Para)"
"3","B90028","AMERICAN BIO MED AMB INC",,"11 WYONA STREET","BROOKLYN","11207","718-235-8900","TLC-licensed base (FHV, Commuter Van, or Para)"
"4","B90032","RICHMOND COUNTY AMBLNC SVC INC",,"1355 CASTLETON AVENUE","STATEN ISLAND","10310","718-273-3555","TLC-licensed base (FHV, Commuter Van, or Para)"
"5","B90034","AMBULETTE PRN INC","NEW YORK CITY AMBULETTE","601 BRIGHTON BEACH AVENUE UNIT #2","BROOKLYN","11235","718-805-2500","TLC-licensed base (FHV, Commuter Van, or Para)"
"6","B90038","ALERT AMBULETTE SVC CORP",,"2702 STILLWELL AVENUE","BROOKLYN","11224","718-266-7000","TLC-licensed base (FHV, Commuter Van, or Para)"
"7","B90042","OASIS AMBULETTE SVC INC",,"3505 ROMBOUTS AVENUE","BRONX","10475","718-389-2121","TLC-licensed base (FHV, Commuter Van, or Para)"
"8","B90049","L-AL LIMOUSINE CORP","L-AL AMBULETTE","1504 ELM AVENUE","BROOKLYN","11230","718-382-3535","TLC-licensed base (FHV, Commuter Van, or Para)"
"9","B90053","MODEL HANDICAP TRANS SVC INC",,"1612 NEPTUNE AVENUE 3 FL.","BROOKLYN","11224","917-335-5324","TLC-licensed base (FHV, Commuter Van, or Para)"
"10","B90056","EVERY BORO AMBLT SVC INC",,"172-29 BROCHER ROAD","SAINT ALBANS","11434","718-528-6277","TLC-licensed base (FHV, Commuter Van, or Para)"
"11","B90058","AHAVA ACCESS INC",,"6002 FOSTER AVENUE","BROOKLYN","11236","718-252-1111","TLC-licensed base (FHV, Commuter Van, or Para)"
"12","B90065","FIRST ALERT AMBULT CORP",,"4675 3 AVENUE","BRONX","10458","718-220-0010","TLC-licensed base (FHV, Commuter Van, or Para)"
"13","B90073","RITE-CHOICE TRANS INC",,"436 KOSCIUSZKO STREET","BROOKLYN","11221","718-452-1172","TLC-licensed base (FHV, Commuter Van, or Para)"
"14","B90074","CENTURY AMBULANCE SVC INC",,"70-35 113 STREET","FOREST HILLS","11375","718-235-9000","TLC-licensed base (FHV, Commuter Van, or Para)"
"15","B90075","ROBIN BUS CO INC",,"2302 NEPTUNE AVENUE","BROOKLYN","11224","718-996-3915","TLC-licensed base (FHV, Commuter Van, or Para)"
"16","B90076","TERRY'S TRANS CO INC","MANHATTAN AMBULETTE","125-12 84 ROAD","KEW GARDENS","11415","718-372-6117","TLC-licensed base (FHV, Commuter Van, or Para)"
"17","B90083","ACCESS AMBLT SVC INC",,"219 MIRIAM STREET 2D","BRONX","10458","718-220-0987","TLC-licensed base (FHV, Commuter Van, or Para)"
"18","B90090","DTS INC","DOMINO TRANSPORT SVC","308 RIVERDALE AVENUE","YONKERS","10705","914-623-7023","TLC-licensed base (FHV, Commuter Van, or Para)"
"19","B90096","PAPI'S TRANS CORP",,"2647 BROADWAY","NEW YORK","10025","212-662-4094","TLC-licensed base (FHV, Commuter Van, or Para)"
