"1","R0001","1","JERICHO TAXI BROKERS INC","36-16 SKILLMAN AVENUE","LIC","NY","11101","718-392-7000","Medallion Broker"
"2","R0004","4","299 10TH AVE BROKERAGE","287 TENTH AVENUE","NY","NY","10001","212-695-0601","Medallion Broker"
"3","R0009","9","MIKE MELLIS BROKERAGE INC","32-56 49 STREET","LIC","NY","11103","718-728-6500","Medallion Broker"
"4","R0010","10","OMEGA BROKERAGE INC","34-20 31 STREET","ASTORIA","NY","11106","718-361-5555","Medallion Broker"
"5","R0013","13","DAVID DARZI'S TAXI BROKERAGE INC","370 WEST   51 STREET","NY","NY","10019","212-586-0031","Medallion Broker"
"6","R0015","15","GOLD TAXI BROKERS INC","407 WEST   39 STREET","NY","NY","10018","212-245-8000","Medallion Broker"
"7","R0016","16","PROGRESSIVE ASSOCIATES BROKERAGE","370 7 AVENUE","NY","NY","10001","212-695-8900","Medallion Broker"
"8","R0018","18","MEDALLION TRANSFER INC","435 WEST   45 STREET","NEW YORK","NY","10036","212-582-5721","Medallion Broker"
"9","R0020","20","PEARLAND TRANSFER CORP","36-01 43 AVENUE","LIC","NY","11101","718-361-0033","Medallion Broker"
"10","R0031","31","6814 KING CAPITAL CREDIT LTD","6814 5 AVENUE","BKLYN","NY","11220","718-833-8110","Medallion Broker"
"11","R0036","36","BIG APPLE BROKERAGE INC","55-10 37 AVENUE","WOODSIDE","NY","11377","718-397-0504","Medallion Broker"
"12","R0039","39","WESTWAY MEDALLION SALES INC","657 TENTH AVENUE","N.Y.","NY","10036","212-977-4590","Medallion Broker"
"13","R0041","41","TAXI CLUB MANAGEMENT INC","313 TENTH AVENUE","NY","NY","10001","212-244-6553","Medallion Broker"
"14","R0042","42","JOBAR, INC","504 WEST   55 STREET","NY","NY","10019","212-245-2392","Medallion Broker"
"15","R0048","48","NY CHECKER MANAGEMENT CORP","625 WEST   51 STREET","NY","NY","10019","212-957-9200","Medallion Broker"
"16","R0050","50","MYSTIC BROKERAGE INC","330 MC GUINNESS BOULEVARD","BROOKLYN","NY","11222","718-349-7610","Medallion Broker"
"17","R0051","51","METRAN MEDALLION SALES, INC.","114 EAST   13 STREET","NY","NY","10003","212-757-4941","Medallion Broker"
"18","R0055","55","OSCAR KATZ MEDALLION SALES INC.","29-24 HOYT AVENUE SOUTH","ASTORIA","NY","11102","718-721-6161","Medallion Broker"
"19","R0057","57","BRIARWOOD TRANSFER SERVICES LLC","139-30 QUEENS BOULEVARD","BRIARWOOD","NY","11435","718-658-9800","Medallion Broker"
"20","R0058","58","NYC MEDALLION BROKERS INC","1817 CONEY ISLAND AVENUE","BROOKLYN","NY","11230","718-336-6565","Medallion Broker"
"21","R0061","61","AVENUE M MANAGEMENT CORP.","1500 MC DONALD AVENUE","BROOKLYN","NY","11230","718-627-7079","Medallion Broker"
"22","R0062","62","SUSAN LAMMEY BROKERAGE INC.","374 FOURTH AVENUE","BROOKLYN","NY","11215","718-222-4040","Medallion Broker"
"23","R0063","63","YELLOW TAXI SALES LLC","313 TENTH AVENUE","NEW YORK","NY","10001","212-244-6553","Medallion Broker"
"24","R0065","65","ACTION MEDALLION SALES LLC","21-03 44 AVENUE","LIC","NY","11101","718-784-9292","Medallion Broker"
"25","R0066","66","THE BEST TAXI BROKER CORP.","35-11 43 AVENUE","LIC","NY","11101","718-482-8181","Medallion Broker"
"27","MF001","1","SUSAN MAINTENANCE CORP.","374 4 AVENUE","BROOKLYN","NY","11215","718-222-4040","Medallion Taxi Meter Shop"
"28","MF002","2","ANN SERVICE CORP","142 WEST   21 STREET","NY","NY","10011","212-929-3676","Medallion Taxi Meter Shop"
"29","MF003","3","CAB MANAGEMENT CORP.","27-34 JACKSON AVENUE","LIC","NY","11101","718-937-8668","Medallion Taxi Meter Shop"
"30","MF008","8","UTICA TAXI CENTER","465 UTICA AVENUE","BROOKLYN","NY","11203","718-774-9767","Medallion Taxi Meter Shop"
"31","MF011","11","J & I MAINTENANCE CORP.","341 BERGEN STREET","BROOKLYN","NY","11217","718-858-3502","Medallion Taxi Meter Shop"
"32","MF014","14","MIDTOWN OPERATING CORP","42-50 24 STREET","LIC","NY","11101","718-937-2080","Medallion Taxi Meter Shop"
"33","MF015","15","55 STAN OPERATING CORP","45-16 VERNON BOULEVARD","LIC","NY","11101","718-786-5811","Medallion Taxi Meter Shop"
"34","MF020","20","LINDEN MAINTENANCE CORP","134-02 33 AVENUE","FLUSHING","NY","11354","718-762-5252","Medallion Taxi Meter Shop"
"35","MF021","21","GOTHAM YELLOW LLC","75 CANAL STREET WEST","BRONX","NY","10451","718-993-8100","Medallion Taxi Meter Shop"
